add,dom,epi,file,refile,cohorts,class,kingdom,domestication,trait,species,SCS,divergence,weighted,method
0.199624229,0,0.800375771,ban.inf.csv,ban.inf.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.085764803,0.914235197,ban.osa.csv,ban.osa.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.501560783,0.498439217,ban.sq.csv,ban.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.390301302,0.609698698,bh.sq.csv,bh.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.357891049,0.136303503,0.505805448,col.ban.csv,col.ban.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,cro.inf.csv,cro.inf.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.152555973,0.433069121,0.414374905,da.sq.csv,da.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.55786764,0.44213236,dar.bho.csv,dar.bho.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.014411078,0.474854663,0.510734259,h-ba.sq.csv,h-ba.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.381766104,0.618233896,h-ban.osa.csv,h-ban.osa.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.013682306,0.421339745,0.564977949,h-bh.sq.csv,h-bh.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.263975187,0.146388479,0.589636334,h-col.ban.csv,h-col.ban.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-da.sq.csv,h-da.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.595658158,0.404341842,h-dar.bho.csv,h-dar.bho.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,h-nig.sing.csv,h-nig.sing.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.310031045,0,0.689968955,h-osa.col.csv,h-osa.col.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-pm.sin.csv,h-pm.sin.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.030551764,0.459757855,0.50969038,m-ba.sq.csv,m-ba.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,0.452904086,0.547095914,m-bh.sq.csv,m-bh.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0.032413815,0.420919325,0.54666686,m-da.sq.csv,m-da.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0.33249707,0,0.66750293,nig.cro.csv,nig.cro.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,0,1,nig.sing.csv,nig.sing.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0.250197238,0.402697961,0.347104801,osa.col.csv,osa.col.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,0,1,per.inf.csv,per.inf.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0.05599825,0.551316764,0.392684986,per.sq.csv,per.sq.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,1,0,pm.sin.csv,pm.sin.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,sin.cro.csv,sin.cro.csv,complete,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,ban.inf.csv,ban.inf.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,ban.osa.csv,ban.osa.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.40373895,0.59626105,ban.sq.csv,ban.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,1,0,bh.sq.csv,bh.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,col.ban.csv,col.ban.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.07417865,0,0.92582135,cro.inf.csv,cro.inf.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,da.sq.csv,da.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,dar.bho.csv,dar.bho.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,h-ba.sq.csv,h-ba.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-ban.osa.csv,h-ban.osa.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,1,0,h-bh.sq.csv,h-bh.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-col.ban.csv,h-col.ban.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.340231746,0.659768254,0,h-da.sq.csv,h-da.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-dar.bho.csv,h-dar.bho.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.160742957,0,0.839257043,h-nig.sing.csv,h-nig.sing.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-osa.col.csv,h-osa.col.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-pm.sin.csv,h-pm.sin.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.376362448,0.623637552,m-ba.sq.csv,m-ba.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,0.399949283,0.600050717,m-bh.sq.csv,m-bh.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,m-da.sq.csv,m-da.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,nig.cro.csv,nig.cro.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
